Job,Housing,Credit amount,Duration,Purpose,Risk,CustomerID
2,own,1169,6,radio/TV,good,C1938652
2,own,5951,48,radio/TV,bad,C8016323
1,own,2096,12,education,good,C5141487
2,free,7882,42,furniture/equipment,good,C7035854
2,free,4870,24,car,bad,C5442952
1,free,9055,36,education,good,C1024446
2,own,2835,24,furniture/equipment,good,C2327977
3,rent,6948,36,car,good,C4911959
1,own,3059,12,radio/TV,good,C2432468
3,own,5234,30,car,bad,C8021714
2,rent,1295,12,car,bad,C7066231
2,rent,4308,48,business,bad,C5535053
2,own,1567,12,radio/TV,good,C1846756
1,own,1199,24,car,bad,C8324776
2,rent,1403,15,car,good,C8423415
1,own,1282,24,radio/TV,bad,C4034660
2,own,2424,24,radio/TV,good,C5530857
2,own,8072,30,business,good,C5153883
3,free,12579,24,car,bad,C7239331
2,own,3430,24,radio/TV,good,C3819237
2,own,2134,9,car,good,C4039890
2,rent,2647,6,radio/TV,good,C4919124
1,rent,2241,10,car,good,C7726218
2,own,1804,12,car,good,C2437267
2,own,2069,10,furniture/equipment,good,C3055933
1,own,1374,6,furniture/equipment,good,C2428559
1,own,426,6,radio/TV,good,C1434457
2,rent,409,12,radio/TV,good,C7734984
2,own,2415,7,radio/TV,good,C6098173
2,own,6836,60,business,bad,C4025412
2,own,1913,18,business,good,C3428940
2,own,4020,24,furniture/equipment,good,C6855954
2,own,5866,18,car,good,C1312653
1,rent,1264,12,business,good,C1034736
3,own,1474,12,furniture/equipment,good,C8341066
1,own,4746,45,radio/TV,bad,C4416763
2,free,6110,48,education,good,C2336014
2,own,2100,18,radio/TV,bad,C1426353
2,own,1225,10,domestic appliances,good,C5317748
2,own,458,9,radio/TV,good,C6828630
3,own,2333,30,radio/TV,good,C1415429
2,own,1158,12,radio/TV,good,C6338745
1,own,6204,18,repairs,good,C2532676
2,rent,6187,30,car,good,C4538482
1,free,6143,48,car,bad,C2138137
3,own,1393,11,car,good,C4655929
2,own,2299,36,radio/TV,good,C1812011
0,rent,1352,6,car,good,C7024520
1,own,7228,11,car,good,C3322643
2,own,2073,12,radio/TV,good,C2129945
1,own,2333,24,furniture/equipment,good,C2324681
3,own,5965,27,car,good,C5583771
2,own,1262,12,radio/TV,good,C7537339
2,own,3378,18,car,good,C5723419
2,free,2225,36,car,bad,C1133446
1,own,783,6,car,good,C7633165
3,own,6468,12,radio/TV,bad,C6241279
2,own,9566,36,radio/TV,good,C3131321
3,own,1961,18,car,good,C6034846
1,rent,6229,36,furniture/equipment,bad,C8284465
2,own,1391,9,business,good,C6221837
2,own,1537,15,radio/TV,good,C5830618
3,free,1953,36,business,bad,C8111835
2,own,14421,48,business,bad,C3213922
2,own,3181,24,radio/TV,good,C3713445
2,own,5190,27,repairs,good,C4943523
2,own,2171,12,radio/TV,good,C5417658
2,own,1007,12,car,good,C7528643
2,free,1819,36,education,bad,C6939933
2,own,2394,36,radio/TV,good,C4027691
2,own,8133,36,car,good,C1912876
1,rent,730,7,radio/TV,good,C4914558
3,free,1164,8,vacation/others,good,C1293723
1,own,5954,42,business,good,C5641456
3,own,1977,36,education,bad,C3099054
3,free,1526,12,car,good,C2134185
2,own,3965,42,radio/TV,bad,C5049760
2,own,4771,11,radio/TV,good,C1936818
1,own,9436,54,car,good,C3191454
2,own,3832,30,furniture/equipment,good,C7816192
2,own,5943,24,radio/TV,bad,C2620556
2,own,1213,15,radio/TV,good,C5120752
1,rent,1568,18,business,good,C7838766
1,own,1755,24,vacation/others,good,C4678121
1,own,2315,10,radio/TV,good,C4541318
3,own,1412,12,business,good,C4428016
2,own,1295,18,furniture/equipment,good,C5034715
2,free,12612,36,education,bad,C8440388
3,own,2249,18,car,good,C4528744
2,own,1108,12,repairs,bad,C8043184
2,own,618,12,radio/TV,good,C7812861
2,own,1409,12,car,good,C2748957
1,own,797,12,radio/TV,bad,C8334679
2,rent,3617,24,furniture/equipment,good,C3419269
2,own,1318,12,car,good,C5426354
2,rent,15945,54,business,bad,C4838272
2,own,2012,12,education,good,C3039631
2,own,2622,18,business,good,C4428286
2,own,2337,36,radio/TV,good,C7815326
3,rent,7057,20,car,good,C2125066
1,rent,1469,24,car,good,C2961779
2,rent,2323,36,radio/TV,good,C6710963
2,own,932,6,radio/TV,good,C1030415
2,rent,1919,9,furniture/equipment,good,C5221090
2,rent,2445,12,car,good,C5712549
3,own,11938,24,vacation/others,bad,C9036328
3,own,6458,18,car,bad,C9012544
2,own,6078,12,car,good,C5528626
2,own,7721,24,furniture/equipment,good,C3675789
2,own,1410,14,business,good,C2230963
2,own,1449,6,business,good,C5723483
2,rent,392,15,education,good,C5220838
1,rent,6260,18,car,good,C3914412
2,own,7855,36,car,bad,C3937036
2,own,1680,12,radio/TV,good,C4334174
2,own,3578,48,radio/TV,good,C7838716
3,own,7174,42,radio/TV,bad,C1032949
2,rent,2132,10,furniture/equipment,good,C8012690
2,own,4281,33,furniture/equipment,bad,C4122664
3,own,2366,12,car,good,C6414760
2,own,1835,21,radio/TV,bad,C1633188
3,rent,3868,24,car,good,C1631644
1,rent,1768,12,furniture/equipment,good,C1694833
2,free,781,10,car,good,C1716139
2,rent,1924,18,furniture/equipment,bad,C9015085
2,own,2121,12,car,good,C5533233
1,own,701,12,radio/TV,good,C5950951
2,own,639,12,repairs,bad,C1234819
3,own,1860,12,car,good,C2332117
2,own,3499,12,car,bad,C3385872
2,own,8487,48,car,good,C2318362
2,own,6887,36,education,bad,C2838192
1,own,2708,15,furniture/equipment,good,C2639232
2,free,1984,18,furniture/equipment,good,C4427177
2,own,10144,60,radio/TV,good,C4432191
2,own,1240,12,radio/TV,good,C6241556
2,own,8613,27,car,good,C1939285
1,own,766,12,radio/TV,bad,C3196648
2,own,2728,15,radio/TV,good,C8113048
1,rent,1881,12,radio/TV,good,C5828413
0,own,709,6,car,good,C2621329
3,own,4795,36,radio/TV,good,C2933273
3,own,3416,27,radio/TV,good,C5422373
2,own,2462,18,furniture/equipment,bad,C6540412
2,own,2288,21,furniture/equipment,good,C1225648
2,own,3566,48,business,good,C3342337
2,own,860,6,car,good,C4328314
2,own,682,12,car,good,C3722636
2,own,5371,36,furniture/equipment,good,C5512830
2,own,1582,18,radio/TV,good,C2811744
2,free,1346,6,radio/TV,good,C5516014
2,own,1924,10,radio/TV,good,C7417573
2,own,5848,36,radio/TV,good,C4836324
2,rent,7758,24,car,good,C6427562
3,rent,6967,24,business,good,C4322718
2,rent,1282,12,furniture/equipment,bad,C4017173
2,own,1288,9,repairs,good,C6925874
1,own,339,12,education,good,C3819623
2,own,3512,24,car,good,C1035121
1,own,1898,6,radio/TV,good,C8070520
2,own,2872,24,radio/TV,good,C2920833
2,own,1055,18,car,good,C8017631
2,own,1262,15,domestic appliances,good,C7994385
3,free,7308,10,car,good,C7966278
2,own,909,36,car,good,C6814663
2,own,2978,6,furniture/equipment,good,C5793556
2,own,1131,18,furniture/equipment,bad,C1727450
2,own,1577,11,furniture/equipment,good,C6612721
2,rent,3972,24,furniture/equipment,good,C6227143
2,own,1935,24,business,bad,C5670460
2,rent,950,15,car,bad,C7318144
2,own,763,12,furniture/equipment,good,C8014737
3,own,2064,24,furniture/equipment,bad,C6631368
2,own,1414,8,radio/TV,good,C7742258
2,own,3414,21,education,bad,C1049877
3,own,7485,30,car,bad,C3937540
2,own,2577,12,furniture/equipment,good,C6897822
2,own,338,6,radio/TV,good,C5716158
3,rent,1963,12,radio/TV,good,C5037973
2,own,571,21,car,good,C2464236
2,own,9572,36,business,bad,C7510176
3,own,4455,36,business,bad,C3713092
1,own,1647,21,car,bad,C3415550
2,own,3777,24,furniture/equipment,good,C7929369
2,own,884,18,car,bad,C5528055
2,own,1360,15,radio/TV,good,C7910624
3,free,5129,9,car,bad,C3843089
0,free,1175,16,car,good,C2121817
2,own,674,12,radio/TV,bad,C4020728
2,own,3244,18,furniture/equipment,good,C6223244
3,own,4591,24,business,bad,C1422556
1,free,3844,48,business,bad,C4411635
2,own,3915,27,business,bad,C7122266
2,rent,2108,6,radio/TV,good,C2713439
2,rent,3031,45,radio/TV,bad,C5013545
3,own,1501,9,education,bad,C4686146
2,own,1382,6,radio/TV,good,C7924472
2,rent,951,12,furniture/equipment,bad,C2835174
2,free,2760,24,car,good,C7121781
3,own,4297,18,furniture/equipment,bad,C4636261
2,own,936,9,education,good,C8862657
1,own,1168,12,car,good,C3117236
2,own,5117,27,business,good,C6780544
2,rent,902,12,education,bad,C3367551
1,own,1495,12,car,good,C1927434
3,free,10623,30,car,good,C1543580
2,own,1935,12,furniture/equipment,good,C1642547
2,own,1424,12,domestic appliances,good,C8639832
